Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,URL,Distributor [Lowest Price (Preferred Distributors)],SKU [Lowest Price (Preferred Distributors)],Packaging [Lowest Price (Preferred Distributors)],Unit Price (@ Batch Size: 1) [Lowest Price (Preferred Distributors)],Line Total [Lowest Price (Preferred Distributors)],Batch Total [Lowest Price (Preferred Distributors)],In Stock [Lowest Price (Preferred Distributors)],MOQ [Lowest Price (Preferred Distributors)],URL [Lowest Price (Preferred Distributors)],Notes
,,,,,,,,,,,,,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,,,,,,,,,,
2SC4081U3T106Q,1,ROHM,2SC4081U3T106Q,https://octopart.com/2sc4081u3t106q-rohm-91418762,Tape & Reel (TR) Surface Mount NPN EAR99 Bipolar (BJT) Transistor 120 @ 1mA 6V 150mA 200mW 180MHz,,Q1,,,18w,,1,2SC4081U3T106QCT-ND,755-2SC4081U3T106Q,,,,Cut Tape,Tape & Reel,,,,0.21,0.17,,,,155440,38153,,,,1,1,,,,https://octopart.com/opatz8j6/a1?t=T4nOQCPF8E4AvkD9zCDtyL2EriS9blne1nkYN1N7XcDhQvqdaBzr1Li20Z7eHuEi1JmoXJbKO4XiNSTOhcg8pLFNu2nK1Uri8Yb8ChK0b1ILnYNQayYeO4FdUy2bDPg7XjJTyd6eEi1H-ol36hEiLAjchPQDMJd05tWsOoZIHv0PwOLels1y1xrA714sxOLYBgCdPiIVvU5QnqjOLGFuybkGWEaKecMDdqzXvxMMl24gP26DfheBZ2mqOK3o1ITnA0RERQ,https://octopart.com/opatz8j6/a1?t=m9MEm5XF2z359iQISFjTWY_OYjSzCrLh0ziNkLs8-CQxaj17JgzcRkwJkPyzvVOgpvSLizOWBpxAnEYp2rZpS2mRKG6QBDtR9Pet9vV8A6T4RcSDepaKxf5PQo7A4rbkpFaDppWL2mupFVnH-UcLEpPSBUWrEQeNVjjB7HeXaL3dvSGH-NR36SuCPgi5-hJuIrkQunRy0Xy3zM96X4OddoNHY8wXbUByx8ln8vaXzAq2k2C7lCB2JmBctCYBQV9AF_luF0A,,,,Mouser,755-2SC4081U3T106Q,Tape & Reel,0.17,0.17,0.17,38153,1,https://octopart.com/opatz8j6/a1?t=m9MEm5XF2z359iQISFjTWY_OYjSzCrLh0ziNkLs8-CQxaj17JgzcRkwJkPyzvVOgpvSLizOWBpxAnEYp2rZpS2mRKG6QBDtR9Pet9vV8A6T4RcSDepaKxf5PQo7A4rbkpFaDppWL2mupFVnH-UcLEpPSBUWrEQeNVjjB7HeXaL3dvSGH-NR36SuCPgi5-hJuIrkQunRy0Xy3zM96X4OddoNHY8wXbUByx8ln8vaXzAq2k2C7lCB2JmBctCYBQV9AF_luF0A,
10129379-936001BLF,1,Amphenol Communications Solutions,10129379-936001BLF,https://octopart.com/10129379-936001blf-amphenol+communications+solutions-126516413,Header Sr Ra Th 1X36-10129379-936001BLF | Amphenol Fci (amphenol Cs) 10129379936001BLF,,,,,10w,,1,10129379-936001BLF-ND,649-1012937993601BLF,45AC1196,10129379-936001BLF,,Bulk,Bulk,,Bulk,,0.76,0.71,0.116,,,3897,836,2573,6400,,1,1,1,100,,https://octopart.com/opatz8j6/a1?t=-UgE7pAR29BkN-yn490dTZxtBRAi4f-Drbdh5Ijztx_d2ZrlbAnXOLC71sb27AmFtCdgqEGlHFM9C1nQ0XdgLdOEkGiW-oHZJKcM1fgeOC288ZybcPuytKqjKzjW9xVCTdBtfhssY9i0bl6wjQRBj0dpyoj9__s6wOoj95-Ohyy-phDNDlMCPwX_oZxadM-w2WyspCtDxAFh6iY3LV8cVq0dgVMBBQbyJSsk_u8uPqbyIoXEi5tQ_8hWzZxlxU37wAYNzg4,https://octopart.com/opatz8j6/a1?t=YOMtAdP1odpXqKhjXyBB41oM4zjEO16dCC1s2FmG-GzL-Y2HrjL2kfejY2L-K9L9IVJHncYinsd5CwYIWFGrR0h_jkPOJ5DWmbO_Fz4rh6idzoRx0mTKWfflyzmu3mYCUu8D0EWur1-VqYsu76KWqBbzwQqpj_I_IZfRnaJJyI9_WFeDQVDI2JBYFkmTj77-xJP0-Qzz9vTUxf2_zX7xn_h3-wvayTKQs_YgmJwpMetgVsuIDeqVKHc5-smxPSrg8HqfDRVy,https://octopart.com/opatz8j6/a1?t=D8bvITUg2aUQ85eV3MDFyQLs4taOd0XGqXB4w5k1PtBkTTzv_1VxC92MsF8je4CfpJJNYxri-zMFZxPZPLWBo1wcT-nMMshvEEiRP3-JK9otr4bIwbdTjahdvvPT7aq1TWg-A3wh1qyRPP2CzfLjbnG6lttPshoOw8K2QU1IBZJGhEiFwBQKa6SVN-8KtIu4RHuH68wixzCh57DYHb43CPwWEh7Yp_X7IRVU4vt-pI8g0QpaG8TJQhcVpoZrUrhoIR6sub_x,https://octopart.com/opatz8j6/a1?t=fsO_kKcSn3Wa2wmUVChdV26IATp-NgR43wSxoX9WWH4y0whOtDU_HimGMhkcr2-KIOHHangSoY17gnuXNYPkNXYc_4jMlyOLEf8hYPnE2LIeTQynA9540eEmgt6EAfhJ7ahJSTuPPQWjhUQ4bhp-C0MmlEU90aXAQtF5lstDJb_bhmeNKApSBnI8dDc00H52HxN9ApXxd-7Teq-T6wz6JQx9lOHWit_VxUmPV5KnkcuZc8Dfj7mB5zIKEz6HGkRgYuoG-BWo,,Newark,45AC1196,,0.116,0.116,0.116,2573,1,https://octopart.com/opatz8j6/a1?t=D8bvITUg2aUQ85eV3MDFyQLs4taOd0XGqXB4w5k1PtBkTTzv_1VxC92MsF8je4CfpJJNYxri-zMFZxPZPLWBo1wcT-nMMshvEEiRP3-JK9otr4bIwbdTjahdvvPT7aq1TWg-A3wh1qyRPP2CzfLjbnG6lttPshoOw8K2QU1IBZJGhEiFwBQKa6SVN-8KtIu4RHuH68wixzCh57DYHb43CPwWEh7Yp_X7IRVU4vt-pI8g0QpaG8TJQhcVpoZrUrhoIR6sub_x,
